Rep,Plot,Clone,First Rust Rating,Canker
2,351,11-BN-010,0,0
2,352,10X-405-025,Dead ,0
2,353,10X-400-073,5,0
2,354,10X-400-063,10,0
2,355,07X-356-034,0,0
2,356,10X-400-052,2,0
2,357,01-200-007,0,0
2,358,10X-400-061,Dead ,0
2,359,10X-405-028,4,0
2,360,10X-239-007,0,0
2,361,10X-400-051,10,0
2,362,06X-330-101 ,0,0
2,363,07X-356-022,0,0
2,364,07X-357-042,0,0
2,365,05X-287-189,0,0
2,366,07X-357-115,0,0
2,367,10X-400-054,9,1
2,368,10X-400-013,0,0
2,369,07X-356-044,0,0
2,370,10X-239-026,2,0
2,371,10X-239-002,0,0
2,372,05X-293-047,0,0
2,373,10X-400-078,4,0
2,374,10X-400-069,0,0
2,375,07X-357-065,0,0
2,376,95026,0,0
2,377,06X-330-056 ,0,0
2,378,10X-400-077,5,1
2,379,10X-239-005,4,0
2,380,10X-400-009,Dead ,0
2,381,99201-007,0,0
2,382,10X-239-014,0,0
2,383,10X-405-013,0,0
2,384,07X-357-116,0,0
2,385,10X-239-036,0,0
2,386,10X-218-018,0,0
2,387,05X-287-160,0,0
2,388,10X-400-026,2,1
2,389,05X-287-196,0,0
2,390,10X-239-028,0,0
2,391,05X-287-151,0,0
2,392,10X-405-019,0,1
2,393,10X-239-032,0,0
2,394,10X-405-003,7,0
2,395,01-200-003,0,0
2,396,10X-405-016,Dead ,0
2,397,10X-239-037,0,0
2,398,10X-405-014,2,0
2,399,01-200-009,0,0
2,400,10X-218-016,0,0
2,401,10X-218-001,0,0
2,402,10X-239-030,2,0
2,403,10X-400-049,4,0
2,404,10X-405-029,0,0
2,405,10X-400-024,5,1
2,406,10X-218-012,0,0
2,407,10X-400-033,6,1
2,408,10X-400-012,0,0
2,409,07X-356-027,0,0
2,410,10X-400-092,15,1
2,411,05X-287-147,25,0
2,412,LA980451,0,0
2,413,10X-400-083,Dead ,0
2,414,01-200-002,0,0
2,415,10X-400-066,3,0
2,416,10X-400-047,8,1
2,417,10X-400-097,18,1
2,418,10X-239-017,0,0
2,419,99217-023 ,0,0
2,420,05X-287-013,0,0
2,421,10X-400-046,22,1
2,422,10X-218-009,0,0
2,423,10X-400-079,25,1
2,424,10X-218-008,0,0
2,425,05X-287-212,0,0
2,426,07X-357-058,0,0
2,427,99202-011,0,0
